"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20705","test_verify_workspace_creation[verify_workspace_creation]","tests","2026-07-12","passed","2026-07-12","","test_workspace_created","",""
"","5898","test_verify_chat_created[chat_verification_01]","tests","2026-07-12","passed","2026-07-12","","test_verify_chat","",""
"","9197","test_stop_generation[stop_generation_1]","tests","2026-07-12","passed","2026-07-12","","test_stop_generation","",""
"","31759","test_stop_generation[stop_generation_3]","tests","2026-07-12","passed","2026-07-12","","test_stop_generation","",""
"","2437","test_verify_folder_created[TC_001]","tests","2026-07-12","passed","2026-07-12","","test_folder_created","",""
"","26190","test_stop_generation[stop_generation_2]","tests","2026-07-12","passed","2026-07-12","","test_stop_generation","",""
"","37901","test_hallucination[hallucination_test]","tests","2026-07-12","failed","2026-07-12","","test_hallucination","",""
"","17173","test_verify_notes_created[TC_001]","tests","2026-07-12","passed","2026-07-12","","test_notes_created","",""
"","38833","test_verify_multi_query[multi_query_01]","tests","2026-07-12","passed","2026-07-12","","test_multi_query","",""
"","88888","test_verify_toxic_query[toxic_query_01]","tests","2026-07-12","passed","2026-07-12","","test_toxic_query","",""
